ナンバーズ３４,データダウンロードサービス,http://toe.jp/numbers34/,,,,,,,,,,
回別,抽選日,当せん番号,ストレート口数,ストレート金額,ボックス口数,ボックス金額,セットストレート口数,セットストレート金額,セットボックス口数,セットボックス金額,ミニ口数,ミニ金額
第4679回,06/07(水),870,56,"115,100",372,"19,100",126,"67,100",717,"9,500",284,"11,500"
第4678回,06/06(火),289,74,"81,500",507,"13,500",189,"47,500","1,021","6,700",448,"8,100"
第4677回,06/05(月),873,81,"98,600",545,"16,400",170,"57,500","1,173","8,200",385,"9,800"
第4676回,06/02(金),622,89,"75,900",358,"25,300",213,"50,600",438,"12,600",467,"7,500"
第4675回,06/01(木),570,45,"120,200",409,"20,000",111,"70,100",868,"10,000",345,"12,000"
第4674回,05/31(水),471,62,"81,100",595,"13,500",199,"47,300","1,280","6,700",298,"8,100"
第4673回,05/30(火),537,65,"86,300",498,"14,300",176,"50,300",936,"7,100",489,"8,600"
第4672回,05/29(月),990,89,"99,400",303,"33,100",139,"66,200",359,"16,500",717,"9,900"
第4671回,05/26(金),41,59,"105,000",469,"17,500",116,"61,200",998,"8,700",583,"10,500"
第4670回,05/25(木),39,77,"90,600",433,"15,100",154,"52,800",858,"7,500",667,"9,000"
第4669回,05/24(水),307,57,"106,600",328,"17,700",166,"62,100",775,"8,800",316,"10,600"
第4668回,05/23(火),509,73,"76,900",525,"12,800",271,"44,800",939,"6,400",233,"7,600"
第4667回,05/22(月),52,50,"126,700",472,"21,100",113,"73,900",970,"10,500",405,"12,600"
第4666回,05/19(金),909,74,"110,800",228,"36,900",138,"73,800",243,"18,400",427,"11,000"
第4665回,05/18(木),423,99,"69,200",506,"11,500",306,"40,300",895,"5,700",477,"6,900"
第4664回,05/17(水),597,46,"109,200",435,"18,200",140,"63,700",802,"9,100",409,"10,900"
第4663回,05/16(火),17,88,"85,800",406,"14,300",163,"50,000",825,"7,100",745,"8,500"
第4662回,05/15(月),682,77,"100,100",631,"16,600",151,"58,300","1,196","8,300",467,"10,000"
第4661回,05/12(金),922,61,"101,100",209,"33,700",185,"67,400",276,"16,800",541,"10,100"
第4660回,05/11(木),895,62,"103,000",403,"17,100",163,"60,000",797,"8,500",411,"10,300"
第4659回,05/10(水),161,74,"99,300",248,"33,100",123,"66,200",407,"16,500",391,"9,900"
第4658回,05/09(火),768,53,"91,100",487,"15,100",188,"53,100",901,"7,500",497,"9,100"
第4657回,05/08(月),459,80,"89,000",597,"14,800",247,"51,900","1,160","7,400",484,"8,900"
第4656回,05/05(金),433,58,"111,600",253,"37,200",104,"74,400",277,"18,600",467,"11,100"
第4655回,05/04(木),904,67,"98,900",356,"16,400",177,"57,600",812,"8,200",343,"9,800"
第4654回,05/03(水),479,61,"93,700",418,"15,600",198,"54,600",834,"7,800",361,"9,300"
第4653回,05/02(火),939,39,"168,200",149,"56,000",76,"112,100",184,"28,000",435,"16,800"
第4652回,05/01(月),525,135,"89,500",310,"29,800",209,"59,600",290,"14,900",589,"8,900"
第4651回,04/28(金),508,97,"85,900",495,"14,300",233,"50,100",838,"7,100",679,"8,500"
第4650回,04/27(木),799,87,"90,000",271,"30,000",160,"60,000",287,"15,000",792,"9,000"
第4649回,04/26(水),796,56,"123,500",357,"20,500",107,"72,000",776,"10,200",413,"12,300"
第4648回,04/25(火),849,55,"124,800",397,"20,800",108,"72,800",736,"10,400",388,"12,400"
第4647回,04/24(月),364,121,"73,700",782,"12,200",228,"42,900","1,506","6,100",713,"7,300"
第4646回,04/21(金),254,83,"98,200",472,"16,300",167,"57,200",906,"8,100",492,"9,800"
第4645回,04/20(木),771,89,"106,500",239,"35,500",127,"71,000",292,"17,700",339,"10,600"
第4644回,04/19(水),91,60,"101,400",493,"16,900",134,"59,100",999,"8,400",449,"10,100"
第4643回,04/18(火),833,61,"112,900",200,"37,600",99,"75,200",266,"18,800",728,"11,200"
第4642回,04/17(月),439,111,"84,000",576,"14,000",276,"49,000",996,"7,000",616,"8,400"
第4641回,04/14(金),535,76,"99,900",258,"33,300",141,"66,600",350,"16,600",760,"9,900"
第4640回,04/13(木),67,45,"118,000",348,"19,600",117,"68,800",689,"9,800",531,"11,800"
第4639回,04/12(水),353,66,"105,100",251,"35,000",136,"70,000",270,"17,500",366,"10,500"
第4638回,04/11(火),81,43,"104,500",415,"17,400",134,"60,900",962,"8,700",333,"10,400"
第4637回,04/10(月),473,76,"112,300",436,"18,700",163,"65,500",946,"9,300",444,"11,200"
