ナンバーズ３４,データダウンロードサービス,http://toe.jp/numbers34/,,,,,,,,,,
回別,抽選日,当せん番号,ストレート口数,ストレート金額,ボックス口数,ボックス金額,セットストレート口数,セットストレート金額,セットボックス口数,セットボックス金額,ミニ口数,ミニ金額
第777回,11/08(水),237,0,"58,400",0,"9,700",0,"34,000",0,"4,800",0,"5,800"
第776回,11/06(月),302,0,"93,700",0,"15,600",0,"54,600",0,"7,800",0,"9,300"
第775回,11/03(金),923,0,"65,600",0,"10,900",0,"38,200",0,"5,400",0,"6,500"
第774回,11/01(水),80,0,"87,800",0,"29,200",0,"58,500",0,"14,600",0,"8,700"
第773回,10/30(月),811,0,"123,700",0,"41,200",0,"82,400",0,"20,600",0,"12,300"
第772回,10/27(金),574,0,"110,700",0,"18,400",0,"64,500",0,"9,200",0,"11,000"
第771回,10/25(水),522,0,"74,700",0,"24,900",0,"49,800",0,"12,400",0,"7,400"
第770回,10/23(月),325,0,"59,900",0,"9,900",0,"34,900",0,"4,900",0,"5,900"
第769回,10/20(金),220,0,"92,400",0,"30,800",0,"61,600",0,"15,400",0,"9,200"
第768回,10/18(水),192,0,"77,800",0,"12,900",0,"45,300",0,"6,400",0,"7,700"
第767回,10/16(月),618,0,"61,700",0,"10,200",0,"35,900",0,"5,100",0,"6,100"
第766回,10/13(金),835,0,"67,000",0,"11,100",0,"39,000",0,"5,500",0,"6,700"
第765回,10/11(水),117,0,"69,200",0,"23,000",0,"46,100",0,"11,500",0,"6,900"
第764回,10/09(月),94,0,"93,600",0,"15,600",0,"54,600",0,"7,800",0,"9,300"
第763回,10/06(金),610,0,"84,000",0,"14,000",0,"49,000",0,"7,000",0,"8,400"
第762回,10/04(水),804,0,"105,200",0,"17,500",0,"61,300",0,"8,700",0,"10,500"
第761回,10/02(月),805,0,"82,100",0,"13,600",0,"47,800",0,"6,800",0,"8,200"
第760回,09/29(金),699,0,"131,500",0,"43,800",0,"87,600",0,"21,900",0,"13,100"
第759回,09/27(水),548,0,"99,000",0,"16,500",0,"57,700",0,"8,200",0,"9,900"
第758回,09/25(月),88,0,"149,100",0,"49,700",0,"99,400",0,"24,800",0,"14,900"
第757回,09/22(金),375,0,"64,800",0,"10,800",0,"37,800",0,"5,400",0,"6,400"
第756回,09/20(水),386,0,"84,600",0,"14,100",0,"49,300",0,"7,000",0,"8,400"
第755回,09/18(月),982,0,"82,900",0,"13,800",0,"48,300",0,"6,900",0,"8,200"
第754回,09/15(金),307,0,"93,000",0,"15,500",0,"54,200",0,"7,700",0,"9,300"
第753回,09/13(水),208,0,"96,400",0,"16,000",0,"56,200",0,"8,000",0,"9,600"
第752回,09/11(月),370,0,"104,700",0,"17,400",0,"61,000",0,"8,700",0,"10,400"
第751回,09/08(金),266,0,"113,700",0,"37,900",0,"75,800",0,"18,900",0,"11,300"
第750回,09/06(水),912,0,"60,400",0,"10,000",0,"35,200",0,"5,000",0,"6,000"
第749回,09/04(月),920,0,"67,800",0,"11,300",0,"39,500",0,"5,600",0,"6,700"
第748回,09/01(金),617,0,"88,400",0,"14,700",0,"51,500",0,"7,300",0,"8,800"
第747回,08/30(水),831,0,"66,900",0,"11,100",0,"39,000",0,"5,500",0,"6,600"
第746回,08/27(日),134,0,"104,100",0,"17,300",0,"60,700",0,"8,600",0,"10,400"
第745回,08/25(金),31,0,"117,500",0,"19,500",0,"68,500",0,"9,700",0,"11,700"
第744回,08/23(水),946,0,"72,100",0,"12,000",0,"42,000",0,"6,000",0,"7,200"
第743回,08/21(月),854,0,"98,000",0,"16,300",0,"57,000",0,"8,100",0,"9,800"
第742回,08/18(金),286,0,"94,500",0,"15,700",0,"55,100",0,"7,800",0,"9,400"
第741回,08/16(水),54,0,"135,400",0,"22,500",0,"78,900",0,"11,200",0,"13,500"
第740回,08/14(月),602,0,"84,400",0,"14,000",0,"49,200",0,"7,000",0,"8,400"
第739回,08/11(金),918,0,"77,600",0,"12,900",0,"45,200",0,"6,400",0,"7,700"
第738回,08/09(水),65,0,"146,100",0,"24,300",0,"85,200",0,"12,100",0,"14,600"
第737回,08/07(月),821,0,"89,500",0,"14,900",0,"52,200",0,"7,400",0,"8,900"
第736回,08/04(金),603,0,"102,300",0,"17,000",0,"59,600",0,"8,500",0,"10,200"
第735回,08/02(水),610,0,"112,500",0,"18,700",0,"65,600",0,"9,300",0,"11,200"
第734回,07/31(月),496,0,"95,100",0,"15,800",0,"55,400",0,"7,900",0,"9,500"
第733回,07/28(金),179,0,"86,100",0,"14,300",0,"50,200",0,"7,100",0,"8,600"
第732回,07/26(水),715,0,"76,300",0,"12,700",0,"44,500",0,"6,300",0,"7,600"
第731回,07/24(月),808,0,"99,200",0,"33,000",0,"66,100",0,"16,500",0,"9,900"
第730回,07/21(金),974,0,"90,200",0,"15,000",0,"52,600",0,"7,500",0,"9,000"
第729回,07/19(水),189,0,"90,200",0,"15,000",0,"52,600",0,"7,500",0,"9,000"
第728回,07/17(月),743,0,"84,400",0,"14,000",0,"49,200",0,"7,200",0,"8,400"
第727回,07/14(金),125,0,"62,500",0,"10,400",0,"36,400",0,"5,200",0,"6,200"
第726回,07/12(水),629,0,"66,100",0,"11,000",0,"38,500",0,"5,500",0,"6,600"
第725回,07/10(月),397,0,"89,500",0,"14,900",0,"52,200",0,"7,400",0,"8,900"
第724回,07/07(金),376,0,"90,200",0,"15,000",0,"52,600",0,"7,500",0,"9,000"
第723回,07/05(水),739,0,"83,000",0,"13,800",0,"48,400",0,"6,900",0,"8,300"
第722回,07/03(月),214,0,"88,000",0,"14,600",0,"51,300",0,"7,300",0,"8,800"
第721回,06/30(金),889,0,"80,800",0,"26,900",0,"53,800",0,"13,400",0,"8,000"
第720回,06/28(水),217,0,"79,000",0,"13,100",0,"46,000",0,"6,500",0,"7,900"
第719回,06/26(月),234,0,"86,000",0,"14,300",0,"50,100",0,"7,100",0,"8,600"
第718回,06/23(金),241,0,"101,600",0,"16,900",0,"59,200",0,"8,400",0,"10,100"
第717回,06/21(水),743,0,"99,200",0,"16,500",0,"57,800",0,"8,200",0,"9,900"
第716回,06/19(月),469,0,"81,600",0,"13,600",0,"47,600",0,"6,800",0,"8,100"
第715回,06/16(金),40,0,"112,600",0,"37,500",0,"75,000",0,"18,700",0,"11,200"
第714回,06/14(水),943,0,"95,600",0,"15,900",0,"55,700",0,"7,900",0,"9,500"
第713回,06/12(月),620,0,"93,500",0,"15,500",0,"54,500",0,"7,700",0,"9,300"
第712回,06/09(金),428,0,"72,900",0,"12,100",0,"42,500",0,"6,000",0,"7,200"
第711回,06/07(水),755,0,"146,800",0,"48,900",0,"97,800",0,"24,400",0,"14,600"
第710回,06/05(月),114,0,"84,000",0,"28,000",0,"56,000",0,"14,000",0,"8,400"
第709回,06/02(金),762,0,"82,600",0,"13,700",0,"48,100",0,"6,800",0,"8,200"
第708回,05/31(水),337,0,"89,200",0,"29,700",0,"59,400",0,"14,800",0,"8,900"
第707回,05/29(月),851,0,"104,400",0,"17,400",0,"60,900",0,"8,700",0,"10,400"
第706回,05/26(金),948,0,"97,100",0,"16,100",0,"56,600",0,"8,000",0,"9,700"
第705回,05/24(水),94,0,"105,100",0,"17,500",0,"61,300",0,"8,700",0,"10,500"
第704回,05/22(月),869,0,"124,900",0,"20,800",0,"72,800",0,"10,400",0,"12,400"
第703回,05/19(金),424,0,"90,600",0,"30,200",0,"60,400",0,"15,100",0,"9,000"
第702回,05/17(水),993,0,"62,000",0,"20,600",0,"41,300",0,"10,300",0,"6,200"
第701回,05/15(月),883,0,"109,200",0,"36,400",0,"72,800",0,"18,200",0,"10,900"
第700回,05/12(金),232,0,"103,000",0,"34,300",0,"68,600",0,"17,100",0,"10,300"
第699回,05/10(水),278,0,"72,200",0,"12,000",0,"42,100",0,"6,000",0,"7,200"
第698回,05/08(月),907,0,"68,800",0,"11,400",0,"40,100",0,"5,700",0,"6,800"
第697回,05/05(金),971,0,"99,600",0,"16,600",0,"58,100",0,"8,300",0,"9,900"
第696回,05/03(水),3,0,"167,200",0,"55,700",0,"111,400",0,"27,800",0,"16,700"
第695回,05/01(月),797,0,"129,200",0,"43,000",0,"86,100",0,"21,500",0,"12,900"
第694回,04/28(金),900,0,"123,700",0,"41,200",0,"82,400",0,"20,600",0,"12,300"
第693回,04/26(水),94,0,"124,100",0,"20,600",0,"72,300",0,"10,300",0,"12,400"
第692回,04/24(月),548,0,"106,400",0,"17,700",0,"62,000",0,"8,800",0,"10,600"
第691回,04/21(金),132,0,"102,000",0,"17,000",0,"59,500",0,"8,500",0,"10,200"
第690回,04/19(水),274,0,"70,600",0,"11,700",0,"41,100",0,"5,800",0,"7,000"
第689回,04/17(月),42,0,"88,800",0,"14,800",0,"51,800",0,"7,400",0,"8,800"
第688回,04/14(金),232,0,"123,200",0,"41,000",0,"82,100",0,"20,500",0,"12,300"
第687回,04/12(水),751,0,"110,700",0,"18,400",0,"64,500",0,"9,200",0,"11,000"
第686回,04/10(月),790,0,"136,000",0,"22,600",0,"79,300",0,"11,300",0,"13,600"
第685回,04/07(金),947,0,"72,700",0,"12,100",0,"42,400",0,"6,000",0,"7,200"
第684回,04/05(水),715,0,"81,600",0,"13,600",0,"47,600",0,"6,800",0,"8,100"
第683回,04/03(月),632,0,"72,600",0,"12,100",0,"42,300",0,"6,000",0,"7,200"
第682回,03/31(金),973,0,"105,200",0,"17,500",0,"61,300",0,"8,700",0,"10,500"
第681回,03/29(水),503,0,"78,700",0,"13,100",0,"45,900",0,"6,500",0,"7,800"
第680回,03/27(月),277,0,"83,500",0,"27,800",0,"55,600",0,"13,900",0,"8,300"
第679回,03/24(金),261,0,"108,900",0,"18,100",0,"63,500",0,"9,000",0,"10,800"
第678回,03/22(水),628,0,"87,800",0,"14,500",0,"50,800",0,"7,200",0,"8,700"
第677回,03/20(月),68,0,"116,000",0,"19,300",0,"67,600",0,"9,600",0,"11,600"
第676回,03/17(金),830,0,"104,500",0,"17,400",0,"60,900",0,"8,700",0,"10,400"
第675回,03/15(水),944,0,"105,300",0,"35,100",0,"70,200",0,"17,500",0,"10,500"
第674回,03/13(月),478,0,"101,500",0,"16,900",0,"59,200",0,"8,400",0,"10,100"
第673回,03/10(金),385,0,"44,800",0,"7,400",0,"26,100",0,"3,700",0,"4,400"
第672回,03/08(水),916,0,"78,100",0,"13,000",0,"45,500",0,"6,500",0,"7,800"
第671回,03/06(月),682,0,"91,400",0,"15,200",0,"53,300",0,"7,600",0,"9,100"
第670回,03/03(金),811,0,"106,700",0,"35,500",0,"71,100",0,"17,700",0,"10,600"
第669回,03/01(水),367,0,"90,300",0,"15,000",0,"52,600",0,"7,500",0,"9,000"
第668回,02/28(月),157,0,"102,500",0,"17,000",0,"59,700",0,"8,500",0,"10,200"
第667回,02/25(金),943,0,"100,800",0,"16,800",0,"58,800",0,"8,400",0,"10,000"
第666回,02/23(水),277,0,"78,600",0,"26,200",0,"52,400",0,"13,100",0,"7,800"
第665回,02/21(月),297,0,"96,600",0,"16,100",0,"56,300",0,"8,000",0,"9,600"
第664回,02/18(金),195,0,"88,000",0,"14,600",0,"51,300",0,"7,300",0,"8,800"
第663回,02/16(水),70,0,"156,000",0,"52,000",0,"104,000",0,"26,000",0,"15,600"
第662回,02/14(月),646,0,"83,900",0,"27,900",0,"55,900",0,"13,900",0,"8,300"
第661回,02/11(金),81,0,"131,100",0,"21,800",0,"76,400",0,"10,900",0,"13,100"
第660回,02/09(水),875,0,"100,200",0,"16,700",0,"58,400",0,"8,300",0,"10,000"
第659回,02/07(月),649,0,"109,800",0,"18,300",0,"64,000",0,"9,100",0,"10,900"
第658回,02/04(金),553,0,"106,700",0,"35,500",0,"71,100",0,"17,700",0,"10,600"
第657回,02/02(水),959,0,"79,100",0,"26,300",0,"52,700",0,"13,100",0,"7,900"
第656回,01/31(月),28,0,"111,700",0,"18,600",0,"65,100",0,"9,300",0,"11,100"
第655回,01/28(金),798,0,"86,300",0,"14,300",0,"50,300",0,"7,100",0,"8,600"
第654回,01/26(水),507,0,"102,800",0,"17,100",0,"59,900",0,"8,500",0,"10,200"
第653回,01/24(月),37,0,"99,600",0,"16,600",0,"58,100",0,"8,300",0,"9,900"
第652回,01/21(金),258,0,"51,600",0,"8,600",0,"30,100",0,"4,300",0,"5,100"
第651回,01/19(水),345,0,"81,300",0,"13,500",0,"47,400",0,"6,700",0,"8,100"
第650回,01/17(月),969,0,"74,300",0,"24,700",0,"49,500",0,"12,300",0,"7,400"
第649回,01/14(金),282,0,"101,500",0,"33,800",0,"67,600",0,"16,900",0,"10,100"
第648回,01/12(水),44,0,"163,700",0,"54,500",0,"109,100",0,"27,200",0,"16,300"
第647回,01/10(月),175,0,"91,500",0,"15,200",0,"53,300",0,"7,600",0,"9,100"
第646回,01/07(金),732,0,"84,700",0,"14,100",0,"49,400",0,"7,000",0,"8,400"
第645回,01/05(水),584,0,"112,800",0,"18,800",0,"65,800",0,"9,400",0,"11,200"
第644回,1999/12/29(水),949,0,"96,400",0,"32,100",0,"64,200",0,"16,000",0,"9,600"
第643回,12/27(月),364,0,"76,500",0,"12,700",0,"44,600",0,"6,300",0,"7,600"
第642回,12/24(金),433,0,"104,800",0,"34,900",0,"69,800",0,"17,400",0,"10,400"
第641回,12/22(水),636,0,"108,900",0,"36,300",0,"72,600",0,"18,100",0,"10,800"
第640回,12/20(月),908,0,"103,000",0,"17,100",0,"60,000",0,"8,500",0,"10,300"
第639回,12/17(金),783,0,"101,000",0,"16,800",0,"58,900",0,"8,400",0,"10,100"
第638回,12/15(水),951,0,"87,200",0,"14,500",0,"50,800",0,"7,200",0,"8,700"
第637回,12/13(月),633,0,"90,600",0,"30,200",0,"60,400",0,"15,100",0,"9,000"
第636回,12/10(金),403,0,"102,600",0,"17,100",0,"59,800",0,"8,500",0,"10,200"
第635回,12/08(水),669,0,"89,100",0,"29,700",0,"59,400",0,"14,800",0,"8,900"
第634回,12/06(月),382,0,"88,200",0,"14,700",0,"51,400",0,"7,300",0,"8,800"
第633回,12/03(金),446,0,"138,700",0,"46,200",0,"92,400",0,"23,100",0,"13,800"
第632回,12/01(水),182,0,"81,100",0,"13,500",0,"47,300",0,"6,700",0,"8,100"
第631回,11/29(月),194,0,"90,100",0,"15,000",0,"52,500",0,"7,500",0,"9,000"
第630回,11/26(金),223,0,"70,800",0,"23,600",0,"47,200",0,"11,800",0,"7,000"
第629回,11/24(水),118,0,"67,900",0,"22,600",0,"45,200",0,"11,300",0,"6,700"
第628回,11/22(月),201,0,"96,100",0,"16,000",0,"56,000",0,"8,000",0,"9,600"
第627回,11/19(金),472,0,"87,500",0,"14,500",0,"51,000",0,"7,200",0,"8,700"
第626回,11/17(水),588,0,"143,600",0,"47,800",0,"95,700",0,"23,900",0,"14,300"
第625回,11/15(月),546,0,"95,600",0,"15,900",0,"55,700",0,"7,900",0,"9,500"
第624回,11/12(金),675,0,"152,400",0,"25,400",0,"88,900",0,"12,700",0,"15,200"
第623回,11/10(水),308,0,"78,100",0,"13,000",0,"45,500",0,"6,500",0,"7,800"
第622回,11/08(月),639,0,"63,000",0,"10,500",0,"36,700",0,"5,200",0,"6,300"
第621回,11/05(金),44,0,"127,900",0,"42,600",0,"85,200",0,"21,300",0,"12,700"
第620回,11/03(水),866,0,"123,500",0,"41,100",0,"82,300",0,"20,500",0,"12,300"
第619回,11/01(月),567,0,"113,300",0,"18,800",0,"66,000",0,"9,400",0,"11,300"
第618回,10/29(金),279,0,"71,400",0,"11,900",0,"41,600",0,"5,900",0,"7,100"
第617回,10/27(水),92,0,"107,700",0,"17,900",0,"62,800",0,"8,900",0,"10,700"
第616回,10/25(月),475,0,"86,500",0,"14,400",0,"50,400",0,"7,200",0,"8,600"
第615回,10/22(金),142,0,"102,900",0,"17,100",0,"60,000",0,"8,500",0,"10,200"
第614回,10/20(水),369,0,"52,100",0,"8,600",0,"30,300",0,"4,300",0,"5,200"
第613回,10/18(月),591,0,"100,200",0,"16,700",0,"58,400",0,"8,300",0,"10,000"
第612回,10/15(金),730,0,"91,000",0,"15,100",0,"53,000",0,"7,500",0,"9,100"
第611回,10/13(水),801,0,"100,100",0,"16,600",0,"58,300",0,"8,300",0,"10,000"
第610回,10/11(月),337,0,"93,200",0,"31,000",0,"62,100",0,"15,500",0,"9,300"
第609回,10/08(金),178,0,"98,200",0,"16,300",0,"57,200",0,"8,100",0,"9,800"
第608回,10/06(水),964,0,"93,800",0,"15,600",0,"54,700",0,"7,800",0,"9,300"
第607回,10/04(月),405,0,"94,700",0,"15,700",0,"55,200",0,"7,800",0,"9,400"
第606回,10/01(金),638,0,"82,300",0,"13,700",0,"48,000",0,"6,800",0,"8,200"
第605回,09/29(水),30,0,"112,700",0,"37,500",0,"75,100",0,"18,700",0,"11,200"
第604回,09/27(月),939,0,"105,400",0,"35,100",0,"70,200",0,"17,500",0,"10,500"
第603回,09/24(金),699,0,"132,000",0,"44,000",0,"88,000",0,"22,000",0,"13,200"
第602回,09/22(水),979,0,"132,400",0,"44,100",0,"88,200",0,"22,000",0,"13,200"
第601回,09/20(月),421,0,"82,000",0,"13,600",0,"47,800",0,"6,800",0,"8,200"
第600回,09/17(金),752,0,"68,600",0,"11,400",0,"40,000",0,"5,700",0,"6,800"
第599回,09/15(水),554,0,"120,400",0,"40,100",0,"80,200",0,"20,000",0,"12,000"
第598回,09/13(月),306,0,"97,600",0,"16,200",0,"56,900",0,"8,100",0,"9,700"
第597回,09/10(金),429,0,"81,700",0,"13,600",0,"47,600",0,"6,800",0,"8,100"
第596回,09/08(水),193,0,"66,000",0,"11,000",0,"38,500",0,"5,500",0,"6,600"
第595回,09/06(月),162,0,"101,700",0,"16,900",0,"59,300",0,"8,400",0,"10,100"
第594回,09/03(金),130,0,"99,800",0,"16,600",0,"58,200",0,"8,300",0,"9,900"
第593回,09/01(水),829,0,"69,000",0,"11,500",0,"40,200",0,"5,700",0,"6,900"
第592回,08/30(月),36,0,"93,200",0,"15,500",0,"54,300",0,"7,700",0,"9,300"
第591回,08/27(金),46,0,"119,400",0,"19,900",0,"69,600",0,"9,900",0,"11,900"
第590回,08/25(水),947,0,"87,300",0,"14,500",0,"50,900",0,"7,200",0,"8,700"
第589回,08/23(月),485,0,"95,700",0,"15,900",0,"55,800",0,"7,900",0,"9,500"
第588回,08/20(金),652,0,"103,800",0,"17,300",0,"60,500",0,"8,600",0,"10,300"
第587回,08/18(水),569,0,"111,300",0,"18,500",0,"64,900",0,"9,200",0,"11,100"
第586回,08/16(月),207,0,"87,400",0,"14,500",0,"50,900",0,"7,200",0,"8,700"
第585回,08/13(金),365,0,"71,300",0,"11,800",0,"41,500",0,"5,900",0,"7,100"
第584回,08/11(水),85,0,"114,700",0,"19,100",0,"66,900",0,"9,500",0,"11,400"
第583回,08/09(月),850,0,"85,000",0,"14,100",0,"49,500",0,"7,000",0,"8,500"
第582回,08/06(金),315,0,"50,600",0,"8,400",0,"29,500",0,"4,200",0,"5,000"
第581回,08/04(水),160,0,"122,400",0,"20,400",0,"71,400",0,"10,200",0,"12,200"
第580回,08/02(月),385,0,"48,300",0,"8,000",0,"28,100",0,"4,000",0,"4,800"
第579回,07/30(金),588,0,"111,200",0,"37,000",0,"74,100",0,"18,500",0,"11,100"
第578回,07/28(水),398,0,"74,300",0,"12,300",0,"43,300",0,"6,100",0,"7,400"
第577回,07/26(月),228,0,"81,700",0,"27,200",0,"54,400",0,"13,600",0,"8,100"
第576回,07/23(金),487,0,"126,400",0,"21,000",0,"73,700",0,"10,500",0,"12,600"
第575回,07/21(水),939,0,"90,800",0,"30,200",0,"60,500",0,"15,100",0,"9,000"
第574回,07/19(月),910,0,"71,200",0,"11,800",0,"41,500",0,"5,900",0,"7,100"
第573回,07/16(金),597,0,"123,700",0,"20,600",0,"72,100",0,"10,300",0,"12,300"
第572回,07/14(水),731,0,"75,600",0,"12,600",0,"44,100",0,"6,300",0,"7,500"
第571回,07/12(月),798,0,"123,800",0,"20,600",0,"72,200",0,"10,300",0,"12,300"
第570回,07/09(金),587,0,"101,300",0,"16,800",0,"59,000",0,"8,400",0,"10,100"
第569回,07/07(水),49,0,"124,800",0,"20,800",0,"72,800",0,"10,400",0,"12,400"
第568回,07/05(月),953,0,"94,100",0,"15,600",0,"54,800",0,"7,800",0,"9,400"
第567回,07/02(金),433,0,"66,700",0,"22,200",0,"44,400",0,"11,100",0,"6,600"
第566回,06/30(水),906,0,"109,100",0,"18,100",0,"63,600",0,"9,000",0,"10,900"
第565回,06/28(月),982,0,"97,500",0,"16,200",0,"56,800",0,"8,100",0,"9,700"
第564回,06/25(金),732,0,"58,500",0,"9,700",0,"34,100",0,"4,800",0,"5,800"
第563回,06/23(水),80,0,"164,200",0,"54,700",0,"109,400",0,"27,300",0,"16,400"
第562回,06/21(月),382,0,"85,200",0,"14,200",0,"49,700",0,"7,100",0,"8,500"
第561回,06/18(金),190,0,"92,000",0,"15,300",0,"53,600",0,"7,600",0,"9,200"
第560回,06/16(水),57,0,"108,200",0,"18,000",0,"63,100",0,"9,000",0,"10,800"
第559回,06/14(月),297,0,"104,100",0,"17,300",0,"60,700",0,"8,600",0,"10,400"
第558回,06/11(金),666,0,"73,400",0,0,0,0,0,0,0,"7,300"
第557回,06/09(水),443,0,"111,500",0,"37,100",0,"74,300",0,"18,500",0,"11,100"
第556回,06/07(月),331,0,"77,500",0,"25,800",0,"51,600",0,"12,900",0,"7,700"
第555回,06/04(金),602,0,"97,300",0,"16,200",0,"56,700",0,"8,100",0,"9,700"
第554回,06/02(水),355,0,"94,800",0,"31,600",0,"63,200",0,"15,800",0,"9,400"
第553回,05/31(月),19,0,"82,700",0,"13,700",0,"48,200",0,"6,800",0,"8,200"
第552回,05/28(金),993,0,"88,100",0,"29,300",0,"58,700",0,"14,600",0,"8,800"
第551回,05/26(水),300,0,"135,000",0,"45,000",0,"90,000",0,"22,500",0,"13,500"
第550回,05/24(月),666,0,"90,800",0,0,0,0,0,0,0,"9,000"
第549回,05/21(金),450,0,"140,300",0,"23,300",0,"81,800",0,"11,600",0,"14,000"
第548回,05/19(水),411,0,"95,000",0,"31,600",0,"63,300",0,"15,800",0,"9,500"
第547回,05/17(月),806,0,"120,300",0,"20,000",0,"70,100",0,"10,000",0,"12,000"
第546回,05/14(金),98,0,"112,700",0,"18,700",0,"65,700",0,"9,300",0,"11,200"
第545回,05/12(水),838,0,"107,800",0,"35,900",0,"71,800",0,"17,900",0,"10,700"
第544回,05/10(月),269,0,"82,500",0,"13,700",0,"48,100",0,"6,800",0,"8,200"
第543回,05/07(金),362,0,"75,300",0,"12,500",0,"43,900",0,"6,200",0,"7,500"
第542回,05/05(水),614,0,"83,300",0,"13,800",0,"48,500",0,"6,900",0,"8,300"
第541回,05/03(月),33,0,"123,100",0,"41,000",0,"82,000",0,"20,500",0,"12,300"
第540回,04/30(金),154,0,"111,000",0,"18,500",0,"64,700",0,"9,200",0,"11,100"
第539回,04/28(水),435,0,"79,900",0,"13,300",0,"46,600",0,"6,600",0,"7,900"
第538回,04/26(月),628,0,"72,200",0,"12,000",0,"42,100",0,"6,000",0,"7,200"
第537回,04/23(金),998,0,"52,300",0,"17,400",0,"34,800",0,"8,700",0,"5,200"
第536回,04/21(水),951,0,"91,600",0,"15,200",0,"53,400",0,"7,600",0,"9,100"
第535回,04/19(月),205,0,"100,400",0,"16,700",0,"58,500",0,"8,300",0,"10,000"
第534回,04/16(金),432,0,"108,100",0,"18,000",0,"63,000",0,"9,000",0,"10,800"
第533回,04/14(水),200,0,"160,500",0,"53,500",0,"107,000",0,"26,700",0,"16,000"
第532回,04/12(月),277,0,"120,300",0,"40,100",0,"80,200",0,"20,000",0,"12,000"
第531回,04/09(金),835,0,"62,200",0,"10,300",0,"36,200",0,"5,100",0,"6,200"
第530回,04/07(水),719,0,"85,200",0,"14,200",0,"49,700",0,"7,100",0,"8,500"
第529回,04/05(月),413,0,"77,700",0,"12,900",0,"45,300",0,"6,400",0,"7,700"
第528回,04/02(金),743,0,"106,800",0,"17,800",0,"62,300",0,"8,900",0,"10,600"
第527回,03/31(水),593,0,"61,600",0,"10,200",0,"35,900",0,"5,100",0,"6,100"
第526回,03/29(月),357,0,"51,100",0,"8,500",0,"29,800",0,"4,200",0,"5,100"
第525回,03/26(金),919,0,"81,600",0,"27,200",0,"54,400",0,"13,600",0,"8,100"
第524回,03/24(水),36,0,"98,800",0,"16,400",0,"57,600",0,"8,200",0,"9,800"
第523回,03/22(月),532,0,"83,000",0,"13,800",0,"48,400",0,"6,900",0,"8,300"
第522回,03/19(金),73,0,"118,700",0,"19,700",0,"69,200",0,"9,800",0,"11,800"
第521回,03/17(水),535,0,"120,400",0,"40,100",0,"80,200",0,"20,000",0,"12,000"
第520回,03/15(月),493,0,"108,700",0,"18,100",0,"63,400",0,"9,000",0,"10,800"
第519回,03/12(金),658,0,"113,900",0,"18,900",0,"66,400",0,"9,400",0,"11,300"
第518回,03/10(水),402,0,"104,100",0,"17,300",0,"60,700",0,"8,600",0,"10,400"
第517回,03/08(月),287,0,"105,700",0,"17,600",0,"61,600",0,"8,800",0,"10,500"
第516回,03/05(金),583,0,"77,800",0,"12,900",0,"45,300",0,"6,400",0,"7,700"
第515回,03/03(水),286,0,"87,600",0,"14,600",0,"51,100",0,"7,300",0,"8,700"
第514回,03/01(月),122,0,"83,600",0,"27,800",0,"55,700",0,"13,900",0,"8,300"
第513回,02/26(金),900,0,"140,500",0,"46,800",0,"93,600",0,"23,400",0,"14,000"
第512回,02/24(水),947,0,"132,300",0,"22,000",0,"77,100",0,"11,000",0,"13,200"
第511回,02/22(月),914,0,"78,900",0,"13,100",0,"46,000",0,"6,500",0,"7,800"
第510回,02/19(金),253,0,"73,500",0,"12,200",0,"42,800",0,"6,100",0,"7,300"
第509回,02/17(水),831,0,"69,500",0,"11,500",0,"40,500",0,"5,700",0,"6,900"
第508回,02/15(月),295,0,"64,000",0,"10,600",0,"37,300",0,"5,300",0,"6,400"
第507回,02/12(金),172,0,"99,300",0,"16,500",0,"57,900",0,"8,200",0,"9,900"
第506回,02/10(水),993,0,"108,100",0,"36,000",0,"72,000",0,"18,000",0,"10,800"
第505回,02/08(月),480,0,"138,300",0,"23,000",0,"80,600",0,"11,500",0,"13,800"
第504回,02/05(金),947,0,"106,800",0,"17,800",0,"62,300",0,"8,900",0,"10,600"
第503回,02/03(水),782,0,"116,200",0,"19,300",0,"67,700",0,"9,600",0,"11,600"
第502回,02/01(月),929,0,"99,000",0,"33,000",0,"66,000",0,"16,500",0,"9,900"
第501回,01/29(金),640,0,"103,400",0,"17,200",0,"60,300",0,"8,600",0,"10,300"
第500回,01/27(水),679,0,"125,700",0,"20,900",0,"73,300",0,"10,400",0,"12,500"
第499回,01/25(月),12,0,"74,400",0,"12,400",0,"43,400",0,"6,200",0,"7,400"
第498回,01/22(金),211,0,"81,300",0,"27,100",0,"54,200",0,"13,500",0,"8,100"
第497回,01/20(水),595,0,"100,600",0,"33,500",0,"67,000",0,"16,700",0,"10,000"
第496回,01/18(月),28,0,"101,400",0,"16,900",0,"59,100",0,"8,400",0,"10,100"
第495回,01/15(金),827,0,"71,900",0,"11,900",0,"41,900",0,"5,900",0,"7,100"
第494回,01/13(水),153,0,"63,300",0,"10,500",0,"36,900",0,"5,200",0,"6,300"
第493回,01/11(月),385,0,"48,900",0,"8,100",0,"28,500",0,"4,000",0,"4,800"
第492回,01/08(金),931,0,"103,900",0,"17,300",0,"60,600",0,"8,600",0,"10,300"
第491回,01/06(水),995,0,"117,700",0,"39,200",0,"78,400",0,"19,600",0,"11,700"
第490回,01/04(月),634,0,"99,400",0,"16,500",0,"57,900",0,"8,200",0,"9,900"
第489回,1998/12/30(水),618,0,"75,500",0,"12,500",0,"44,000",0,"6,200",0,"7,500"
